epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2081.92,0.94949,1.95557,0.71999,1.13145,0.72642,0.7975,0.85808,0.6331,0.72656,0.79575,0.85748,0.51973,1.01184,1.76806,0.70596,1.26255,0.00044296,0.00044296,0.00044296
110,2100.72,0.92169,1.92008,0.69389,1.11574,0.73062,0.821,0.86432,0.64224,0.73062,0.821,0.86369,0.51912,0.97612,1.72912,0.70484,1.22554,0.000435254,0.000435254,0.000435254
111,2119.74,0.94078,1.95999,0.71355,1.13552,0.69117,0.85516,0.85749,0.63663,0.6889,0.85714,0.85856,0.52728,1.00067,1.74399,0.7054,1.26408,0.000427565,0.000427565,0.000427565
112,2138.37,0.94665,1.98925,0.71386,1.134,0.69443,0.82788,0.84362,0.62125,0.69277,0.82859,0.84372,0.51089,1.02094,1.75362,0.73858,1.25978,0.000419895,0.000419895,0.000419895
113,2157.63,0.93937,1.94954,0.71888,1.13708,0.68085,0.84821,0.84673,0.62466,0.68085,0.84821,0.84586,0.5196,0.99314,1.73152,0.72015,1.23893,0.000412246,0.000412246,0.000412246
114,2176.3,0.94585,1.96452,0.71924,1.11975,0.72875,0.80692,0.85885,0.64736,0.72875,0.80692,0.85775,0.53361,0.94813,1.70288,0.70119,1.22413,0.00040462,0.00040462,0.00040462
115,2195.16,0.92332,1.86515,0.69318,1.13976,0.66687,0.82616,0.83085,0.62312,0.66461,0.82616,0.83028,0.51859,0.97585,1.73847,0.72794,1.2455,0.000397019,0.000397019,0.000397019
116,2214.3,0.94101,2.00221,0.70364,1.12058,0.6892,0.83649,0.84499,0.62189,0.68889,0.83907,0.8446,0.51195,0.99362,1.68708,0.73109,1.24741,0.000389445,0.000389445,0.000389445
117,2233.26,0.9379,1.91508,0.71737,1.12958,0.72343,0.81264,0.85104,0.63557,0.72142,0.81497,0.85168,0.53074,0.96989,1.72559,0.71513,1.22598,0.000381899,0.000381899,0.000381899
118,2252.04,0.94099,1.9701,0.72511,1.13446,0.7576,0.7827,0.86695,0.64442,0.75715,0.7808,0.86629,0.52569,0.96896,1.70416,0.7119,1.23545,0.000374383,0.000374383,0.000374383
119,2270.73,0.9154,1.90613,0.69242,1.12423,0.73613,0.83907,0.86604,0.6467,0.73159,0.84207,0.86515,0.53782,0.97164,1.70067,0.69345,1.2289,0.000366899,0.000366899,0.000366899
120,2290.4,0.92278,1.96463,0.71492,1.11453,0.7393,0.84251,0.86567,0.64447,0.7393,0.84251,0.86493,0.53283,0.98257,1.68255,0.6941,1.24507,0.00035945,0.00035945,0.00035945
121,2309,0.9243,1.94364,0.69612,1.11639,0.70996,0.8253,0.85786,0.63797,0.7107,0.82616,0.85814,0.53992,0.97604,1.66033,0.6867,1.23416,0.000352037,0.000352037,0.000352037
122,2327.81,0.92959,1.9637,0.69712,1.12024,0.76575,0.81497,0.86965,0.64758,0.76327,0.81497,0.86856,0.52512,0.97564,1.68257,0.70116,1.24058,0.000344661,0.000344661,0.000344661
